YI,"111, Inc.",$595.27M,2018,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",$32.11M,2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",$17.18M,n/a,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,$59.13M,n/a,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",$1.2B,1999,Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",$47.5M,2019,Finance,Banks
FCCY,1st Constitution Bancorp (NJ),$156.98M,n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,$1.21B,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",$809.23M,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",$3.83B,2014,Technology,Computer Software: Prepackaged Software
QFIN,"360 Finance, Inc.",$2.45B,2018,Finance,Finance: Consumer Services
TPNL,"3PEA International, Inc.",$361.24M,n/a,Miscellaneous,Business Services
JOBS,"51job, Inc.",$5.58B,2004,Technology,Diversified Commercial Services
JFKKU,8i Enterprises Acquisition Corp,$50.3M,2019,Finance,Business Services
EGHT,8x8 Inc,$2.09B,n/a,Technology,EDP Services
AAON,"AAON, Inc.",$2.41B,n/a,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,$368.73M,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,n/a,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,$6.19M,2014,Capital Goods,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",$12.18B,n/a,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,$242.35M,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,$335.11M,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",$2.47B,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,$154.9M,n/a,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",$2.6B,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,$3.69B,1985,Health Care,Major Pharmaceuticals
ACAMU,Acamar Partners Acquisition Corp.,n/a,2019,Finance,Business Services
ACST,"Acasti Pharma, Inc.",$74.77M,n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",$1.05B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,$2.24B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARAY,Accuray Incorporated,$386.67M,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",$266.99M,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,$270.95M,n/a,Health Care,Major Pharmaceuticals
AKAO,"Achaogen, Inc.",$31.62M,2014,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",$23.59M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",$446.66M,2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",$3.95B,n/a,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",$248.86M,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",$250.13M,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,$270.71M,n/a,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",$583.51M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",$36.11B,n/a,Technology,Computer Software: Prepackaged Software
ADMS,"Adamas Pharmaceuticals, Inc.",$176.77M,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,$94.58M,n/a,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,$451.31M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,$849.69M,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",$14.09M,n/a,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,$186.17M,2015,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",$29.72M,2018,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",n/a,2018,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,$228.52M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
