rank,message
negative,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
negative,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
negative,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
negative,@ITS_NEMESIS ------- 
negative,@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick 
negative,MORNING!!! Good im bloody knackered!!! Work is not for me today  HELPPP!!!! xxx
negative,http://twitpic.com/2y3cf - Filled with curry  the true indian in me is coming out
negative,got the ebay blues! item i want jumped from no bidders to over $100 in an hour.. still has 3 hours to go. i'd better not get my hopes up 
negative,still procrastinating... i hate organizing my clothes  there's just so much....
negative,Bouts to start 24. Poor linny couldn't keep her eyes open.  she tired and has to work tomorrow morning. Night @ilovefatsusan.
negative,@BATMANNN  i love chutney......
negative,"@octopuseatspie I GOT THE I CAN HAS CHEZBURGER BOOK FROM THE LOBO, AND YOU ARE NOT HERE TO LOOK AT IT WIF ME "
negative,@brendamew2 no art tomorrow.  and nice to see you've joined twitter!
negative,@gaspitsnicole sigh me too  mostly i midd hsnging out with my friends damn growing up : p
negative,"@polaroidskyline that sounds fair horrible.  i was going to repeat myself, but i guess the text I just sent you would do it better. whee."
negative,Megan equals Murder. 
negative,@CHRISDJMOYLES I'm not excited as I live in Wales 
negative,@jdpeterson  hope you feel better. why cali?
negative,again with the fucked sleep... ive decided to go do homework instead 
negative,@d_TRIX my mom just had a root canal also...i feel your pain buddy! 
negative,@DeiondraSanders I'm always up late. I wish I was a morning person but I'm not 
negative,@cherrytreerec I can't see anything  Stupid YouTube and their location restrictions. Who's in the Speedo?
negative,is at work!!!  xx
negative,"Observe &amp; Report was premiering at the Chinese Theater I was driving by slowly but only saw the reporters &amp; red carpet, no stars "
negative,i miss my kitty cats 
negative,Just remembered that I've forgotten my best friends birthday 
negative,Can't sleep and brother is at home with girlfriend and baby so i can't sleep in his room any more 
negative,hermes packetdienst sucks 
negative,My website is down.. 
negative,@phillColeman I had it as low as 3.5 last night 
negative,"@orangeflowers me too, its scary not the clutter but the unclean  pain keeps me awake lately, but shld start subsiding in a wk or so"
negative,wishes twitter had a translator!! Twitter just hasn't caught on in the southern hemisphere yet!! They'll get there aventually I guess! 
negative,@NathnaelB I would love to be ill next week dude... but no pay 
negative,@darkened_jade Yep.....WORK....started badly and has gone rapidly downhill!  Story of my life to be honest 
negative,@Deemaah but I thought I did  Not my fault that you dont pay attention to my genitals!
